variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
baseline,quick,l2,100,1,1,1,0.144000,24a9a98a03fabe218021d19863e18f9d,0.858,1.122,1205.760125,58720256,54976512,500
baseline,quick,l2,100,1,1,2,0.144000,24a9a98a03fabe218021d19863e18f9d,0.892,1.175,1152.993011,58720256,54976512,500
baseline,quick,l2,100,1,1,3,0.144000,24a9a98a03fabe218021d19863e18f9d,0.863,1.118,1193.244615,58720256,54976512,500
baseline,quick,l2,100,1,12,1,0.144000,24a9a98a03fabe218021d19863e18f9d,1.112,1.367,11476.139193,58720256,54976512,500
baseline,quick,l2,100,1,12,2,0.144000,24a9a98a03fabe218021d19863e18f9d,1.115,1.391,11378.402269,58720256,54976512,500
baseline,quick,l2,100,1,12,3,0.144000,24a9a98a03fabe218021d19863e18f9d,1.118,1.375,11417.262719,58720256,54976512,500
baseline,quick,l2,100,10,1,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,3.438,4.293,285.934693,58720256,54976512,500
baseline,quick,l2,100,10,1,2,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,3.424,4.355,286.324811,58720256,54976512,500
baseline,quick,l2,100,10,1,3,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,3.386,4.251,289.818432,58720256,54976512,500
baseline,quick,l2,100,10,12,1,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,4.113,5.034,2909.273472,58720256,54976512,500
baseline,quick,l2,100,10,12,2,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,4.243,5.322,2809.582623,58720256,54976512,500
baseline,quick,l2,100,10,12,3,0.982000,11c11dd4a2c6f36a6e58312a5b3aaea3,4.146,5.056,2888.696007,58720256,54976512,500
baseline,quick,l2,100,20,1,1,1.000000,493c961f41abec9ff7e813e1100314c1,6.240,7.446,157.301121,58720256,54976512,500
baseline,quick,l2,100,20,1,2,1.000000,493c961f41abec9ff7e813e1100314c1,6.307,7.783,155.473258,58720256,54976512,500
baseline,quick,l2,100,20,1,3,1.000000,493c961f41abec9ff7e813e1100314c1,6.278,7.534,156.576420,58720256,54976512,500
baseline,quick,l2,100,20,12,1,1.000000,493c961f41abec9ff7e813e1100314c1,7.306,8.561,1642.223228,58720256,54976512,500
baseline,quick,l2,100,20,12,2,1.000000,493c961f41abec9ff7e813e1100314c1,7.304,8.519,1642.847576,58720256,54976512,500
baseline,quick,l2,100,20,12,3,1.000000,493c961f41abec9ff7e813e1100314c1,7.311,8.611,1641.036955,58720256,54976512,500
baseline,quick,ip,100,1,1,1,0.770000,e45055679b8901feb53a2cff436c9dc6,0.417,0.681,2255.281997,58720256,54984704,500
baseline,quick,ip,100,1,1,2,0.770000,e45055679b8901feb53a2cff436c9dc6,0.422,0.692,2224.231237,58720256,54984704,500
baseline,quick,ip,100,1,1,3,0.770000,e45055679b8901feb53a2cff436c9dc6,0.419,0.687,2225.818332,58720256,54984704,500
baseline,quick,ip,100,1,12,1,0.770000,e45055679b8901feb53a2cff436c9dc6,0.501,0.775,22910.726183,58720256,54984704,500
baseline,quick,ip,100,1,12,2,0.770000,e45055679b8901feb53a2cff436c9dc6,0.499,0.776,22980.488570,58720256,54984704,500
baseline,quick,ip,100,1,12,3,0.770000,e45055679b8901feb53a2cff436c9dc6,0.499,0.776,22984.682083,58720256,54984704,500
baseline,quick,ip,100,10,1,1,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,3.003,3.701,327.781972,58720256,54984704,500
baseline,quick,ip,100,10,1,2,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,3.057,3.756,323.017508,58720256,54984704,500
baseline,quick,ip,100,10,1,3,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,3.013,3.710,326.236930,58720256,54984704,500
baseline,quick,ip,100,10,12,1,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,3.552,4.340,3351.299869,58720256,54984704,500
baseline,quick,ip,100,10,12,2,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,3.545,4.342,3352.773324,58720256,54984704,500
baseline,quick,ip,100,10,12,3,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,3.608,4.491,3281.071232,58720256,54984704,500
baseline,quick,ip,100,20,1,1,0.978000,f27a31a4ca003102a68153eeac209da5,6.170,7.266,160.652212,58720256,54984704,500
baseline,quick,ip,100,20,1,2,0.978000,f27a31a4ca003102a68153eeac209da5,6.073,6.983,163.424448,58720256,54984704,500
baseline,quick,ip,100,20,1,3,0.978000,f27a31a4ca003102a68153eeac209da5,5.981,7.047,164.839594,58720256,54984704,500
baseline,quick,ip,100,20,12,1,0.978000,f27a31a4ca003102a68153eeac209da5,6.947,8.143,1718.251195,58720256,54984704,500
baseline,quick,ip,100,20,12,2,0.978000,f27a31a4ca003102a68153eeac209da5,6.928,8.193,1716.990812,58720256,54984704,500
baseline,quick,ip,100,20,12,3,0.978000,f27a31a4ca003102a68153eeac209da5,6.968,8.209,1709.111570,58720256,54984704,500
baseline,quick,cosine,100,1,1,1,0.776000,be42c0e595109a77df47257cf500840a,0.415,0.671,2282.565982,58720256,54984704,500
baseline,quick,cosine,100,1,1,2,0.776000,be42c0e595109a77df47257cf500840a,0.414,0.676,2280.328124,58720256,54984704,500
baseline,quick,cosine,100,1,1,3,0.776000,be42c0e595109a77df47257cf500840a,0.436,0.712,2149.356683,58720256,54984704,500
baseline,quick,cosine,100,1,12,1,0.776000,be42c0e595109a77df47257cf500840a,0.502,0.781,22854.173951,58720256,54984704,500
baseline,quick,cosine,100,1,12,2,0.776000,be42c0e595109a77df47257cf500840a,0.504,0.779,22801.242947,58720256,54984704,500
baseline,quick,cosine,100,1,12,3,0.776000,be42c0e595109a77df47257cf500840a,0.503,0.781,22783.718779,58720256,54984704,500
baseline,quick,cosine,100,10,1,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.004,3.699,326.953180,58720256,54984704,500
baseline,quick,cosine,100,10,1,2,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.088,3.773,320.073553,58720256,54984704,500
baseline,quick,cosine,100,10,1,3,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.028,3.679,326.486976,58720256,54984704,500
baseline,quick,cosine,100,10,12,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.547,4.344,3351.688006,58720256,54984704,500
baseline,quick,cosine,100,10,12,2,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.532,4.325,3369.413090,58720256,54984704,500
baseline,quick,cosine,100,10,12,3,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.580,4.464,3309.968068,58720256,54984704,500
baseline,quick,cosine,100,20,1,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.080,7.072,162.856511,58720256,54984704,500
baseline,quick,cosine,100,20,1,2,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.059,7.040,163.363145,58720256,54984704,500
baseline,quick,cosine,100,20,1,3,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.049,7.034,164.171861,58720256,54984704,500
baseline,quick,cosine,100,20,12,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.900,8.146,1726.831182,58720256,54984704,500
baseline,quick,cosine,100,20,12,2,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.927,8.158,1722.137441,58720256,54984704,500
baseline,quick,cosine,100,20,12,3,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.951,8.147,1719.021189,58720256,54984704,500
