variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
optimized-list-sweep,quick,ip,100,10,1,1,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,0.961,1.308,1002.954338,58720256,54984704,500
optimized-list-sweep,quick,ip,100,10,12,1,0.954000,6e4e03fbe0c4a3a93d4917cfa81b6aae,1.319,1.696,9038.049331,58720256,54984704,500
optimized-list-sweep,quick,ip,100,20,1,1,0.978000,f27a31a4ca003102a68153eeac209da5,1.832,2.401,531.324639,58720256,54984704,500
optimized-list-sweep,quick,ip,100,20,12,1,0.978000,f27a31a4ca003102a68153eeac209da5,2.353,2.937,5094.523937,58720256,54984704,500
optimized-list-sweep,quick,ip,200,1,1,1,0.528000,9482b2b07d3215187d6844bf1c18cb93,0.239,0.355,3917.167591,58720256,55435264,485
optimized-list-sweep,quick,ip,200,1,12,1,0.528000,9482b2b07d3215187d6844bf1c18cb93,0.299,0.398,38626.409491,58720256,55435264,485
optimized-list-sweep,quick,ip,200,5,1,1,0.982000,fd8f65a7d6a24578fdae5b2779cd5f5a,0.396,0.585,2412.845161,58720256,55435264,500
optimized-list-sweep,quick,ip,200,5,12,1,0.982000,fd8f65a7d6a24578fdae5b2779cd5f5a,0.525,0.730,22147.302801,58720256,55435264,500
optimized-list-sweep,quick,ip,200,10,1,1,1.000000,143573fdef1cc037a45ae6569d1dd66a,0.582,0.839,1644.418408,58720256,55435264,500
optimized-list-sweep,quick,ip,200,10,12,1,1.000000,143573fdef1cc037a45ae6569d1dd66a,0.798,1.100,14653.394332,58720256,55435264,500
optimized-list-sweep,quick,ip,200,20,1,1,1.000000,143573fdef1cc037a45ae6569d1dd66a,0.987,1.389,975.224789,58720256,55435264,500
optimized-list-sweep,quick,ip,200,20,12,1,1.000000,143573fdef1cc037a45ae6569d1dd66a,1.326,1.764,8926.590512,58720256,55435264,500
optimized-list-sweep,quick,cosine,50,1,1,1,0.380000,756272257fb774a511b6f4ab67d0a562,0.351,0.552,2703.499090,58720256,54845440,500
optimized-list-sweep,quick,cosine,50,1,12,1,0.380000,756272257fb774a511b6f4ab67d0a562,0.472,0.700,24489.466769,58720256,54845440,500
