variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
optimized,quick,cosine,100,1,12,1,0.776000,be42c0e595109a77df47257cf500840a,0.348,0.473,33283.712951,58720256,54984704,500
optimized,quick,cosine,100,1,12,2,0.776000,be42c0e595109a77df47257cf500840a,0.349,0.472,33285.377674,58720256,54984704,500
optimized,quick,cosine,100,1,12,3,0.776000,be42c0e595109a77df47257cf500840a,0.347,0.471,33407.443097,58720256,54984704,500
optimized,quick,cosine,100,10,1,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,0.933,1.287,1031.740110,58720256,54984704,500
optimized,quick,cosine,100,10,1,2,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,0.934,1.296,1028.828400,58720256,54984704,500
optimized,quick,cosine,100,10,1,3,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,0.936,1.278,1031.275144,58720256,54984704,500
optimized,quick,cosine,100,10,12,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,1.316,1.751,9001.521533,58720256,54984704,500
optimized,quick,cosine,100,10,12,2,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,1.290,1.657,9234.164186,58720256,54984704,500
optimized,quick,cosine,100,10,12,3,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,1.294,1.672,9198.237998,58720256,54984704,500
optimized,quick,cosine,100,20,1,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,1.644,2.141,589.536419,58720256,54984704,500
optimized,quick,cosine,100,20,1,2,0.974000,7dc37ae30fa75e8f56d0b5d976141046,1.673,2.181,580.114399,58720256,54984704,500
optimized,quick,cosine,100,20,1,3,0.974000,7dc37ae30fa75e8f56d0b5d976141046,1.660,2.177,583.300444,58720256,54984704,500
optimized,quick,cosine,100,20,12,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,2.285,2.855,5252.640377,58720256,54984704,500
optimized,quick,cosine,100,20,12,2,0.974000,7dc37ae30fa75e8f56d0b5d976141046,2.278,2.849,5258.801831,58720256,54984704,500
optimized,quick,cosine,100,20,12,3,0.974000,7dc37ae30fa75e8f56d0b5d976141046,2.281,2.837,5267.838133,58720256,54984704,500
