variant,profile,metric,lists,probes,clients,repeat,recall,result_hash,p50_ms,p95_ms,qps,table_bytes,index_bytes,result_count
pg18-baseline,quick,cosine,100,1,1,2,0.776000,be42c0e595109a77df47257cf500840a,0.417,0.680,2230.523582,58720256,54984704,500
pg18-baseline,quick,cosine,100,1,1,3,0.776000,be42c0e595109a77df47257cf500840a,0.418,0.688,2229.932954,58720256,54984704,500
pg18-baseline,quick,cosine,100,1,12,1,0.776000,be42c0e595109a77df47257cf500840a,0.502,0.775,22902.113963,58720256,54984704,500
pg18-baseline,quick,cosine,100,1,12,2,0.776000,be42c0e595109a77df47257cf500840a,0.501,0.773,22931.940149,58720256,54984704,500
pg18-baseline,quick,cosine,100,1,12,3,0.776000,be42c0e595109a77df47257cf500840a,0.504,0.779,22775.577340,58720256,54984704,500
pg18-baseline,quick,cosine,100,10,1,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.117,3.937,314.437292,58720256,54984704,500
pg18-baseline,quick,cosine,100,10,1,2,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.163,3.916,311.288281,58720256,54984704,500
pg18-baseline,quick,cosine,100,10,1,3,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.073,3.818,320.034308,58720256,54984704,500
pg18-baseline,quick,cosine,100,10,12,1,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.650,4.551,3258.093927,58720256,54984704,500
pg18-baseline,quick,cosine,100,10,12,2,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.744,4.772,3162.451099,58720256,54984704,500
pg18-baseline,quick,cosine,100,10,12,3,0.946000,faddd0f7d6d31f7c90863eb5c34ca03f,3.658,4.533,3250.559693,58720256,54984704,500
pg18-baseline,quick,cosine,100,20,1,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.261,7.441,157.788008,58720256,54984704,500
pg18-baseline,quick,cosine,100,20,1,2,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.197,7.419,158.588994,58720256,54984704,500
pg18-baseline,quick,cosine,100,20,1,3,0.974000,7dc37ae30fa75e8f56d0b5d976141046,6.212,7.219,159.363697,58720256,54984704,500
pg18-baseline,quick,cosine,100,20,12,1,0.974000,7dc37ae30fa75e8f56d0b5d976141046,7.136,8.493,1674.271692,58720256,54984704,500
pg18-baseline,quick,cosine,100,20,12,2,0.974000,7dc37ae30fa75e8f56d0b5d976141046,7.169,8.558,1666.446565,58720256,54984704,500
pg18-baseline,quick,cosine,100,20,12,3,0.974000,7dc37ae30fa75e8f56d0b5d976141046,7.123,8.487,1677.178343,58720256,54984704,500
