elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
6311,22788,building index: loading tuples,7168,1557,0,21801,69224,0
6372,22788,building index: loading tuples,7168,1570,0,21980,69224,0
6433,22788,building index: loading tuples,7168,1583,0,22165,69224,0
6493,22788,building index: loading tuples,7168,1595,0,22334,69224,0
6554,22788,building index: loading tuples,7168,1607,0,22506,69224,0
6618,22788,building index: loading tuples,7168,1619,0,22668,69224,0
6680,22788,building index: loading tuples,7168,1630,0,22831,69224,0
6741,22788,building index: loading tuples,7168,1642,0,22993,69224,0
6801,22788,building index: loading tuples,7168,1654,0,23156,69224,0
6862,22788,building index: loading tuples,7168,1665,0,23313,69224,0
6923,22788,building index: loading tuples,7168,1677,0,23488,69224,0
6983,22788,building index: loading tuples,7168,1693,0,23704,69224,0
7043,22788,building index: loading tuples,7168,1707,0,23899,69224,0
7103,22788,building index: loading tuples,7168,1719,0,24076,69224,0
7163,22788,building index: loading tuples,7168,1733,0,24263,69224,0
7223,22788,building index: loading tuples,7168,1746,0,24449,69224,0
7284,22788,building index: loading tuples,7168,1759,0,24639,69224,0
7345,22788,building index: loading tuples,7168,1772,0,24815,69224,0
7405,22788,building index: loading tuples,7168,1785,0,24992,69224,0
7466,22788,building index: loading tuples,7168,1797,0,25167,69224,0
7526,22788,building index: loading tuples,7168,1809,0,25327,69224,0
7587,22788,building index: loading tuples,7168,1820,0,25493,69224,0
7647,22788,building index: loading tuples,7168,1832,0,25660,69224,0
7708,22788,building index: loading tuples,7168,1844,0,25819,69224,0
7769,22788,building index: loading tuples,7168,1856,0,25985,69224,0
7831,22788,building index: loading tuples,7168,1868,0,26156,69224,0
7891,22788,building index: loading tuples,7168,1880,0,26323,69224,0
7952,22788,building index: loading tuples,7168,1891,0,26482,69224,0
8012,22788,building index: loading tuples,7168,1903,0,26648,69224,0
8073,22788,building index: loading tuples,7168,1915,0,26816,69224,0
8133,22788,building index: loading tuples,7168,1926,0,26965,69224,0
8194,22788,building index: loading tuples,7168,1937,0,27124,69224,0
8254,22788,building index: loading tuples,7168,1949,0,27295,69224,0
8316,22788,building index: loading tuples,7168,1961,0,27456,69224,0
8377,22788,building index: loading tuples,7168,1973,0,27624,69224,0
8437,22788,building index: loading tuples,7168,1984,0,27788,69224,0
8498,22788,building index: loading tuples,7168,1996,0,27949,69224,0
8558,22788,building index: loading tuples,7168,2007,0,28107,69224,0
8618,22788,building index: loading tuples,7168,2018,0,28261,69224,0
8679,22788,building index: loading tuples,7168,2030,0,28424,69224,0
8741,22788,building index: loading tuples,7168,2041,0,28577,69224,0
8801,22788,building index: loading tuples,7168,2052,0,28736,69224,0
8861,22788,building index: loading tuples,7168,2064,0,28897,69224,0
8922,22788,building index: loading tuples,7168,2075,0,29051,69224,0
8982,22788,building index: loading tuples,7168,2086,0,29216,69224,0
9042,22788,building index: loading tuples,7168,2098,0,29379,69224,0
9102,22788,building index: loading tuples,7168,2110,0,29541,69224,0
9161,22788,building index: loading tuples,7168,2122,0,29709,69224,0
9222,22788,building index: loading tuples,7168,2133,0,29870,69224,0
9282,22788,building index: loading tuples,7168,2148,0,30079,69224,0
