am,m,ef_construction,lists,rows,dims,dataset,mwm,n_repeats,build_min_ms,build_median_ms,build_max_ms,index_mb,spilled,topk,query_knob,recall_at_k,query_ms_mean,run_id,measured_at
hnsw,8,64,,100000,128,sift1m-subset,512MB,3,7911,8326,8510,71.0,f,10,hnsw.ef_search=40,0.9427,0.55,t27-20260827,2026-08-27 00:38:08.451704+08
hnsw,16,64,,100000,128,sift1m-subset,512MB,3,16744,18192,18985,79.4,f,10,hnsw.ef_search=40,0.9790,0.80,t27-20260827,2026-08-27 00:38:08.451704+08
hnsw,8,200,,100000,128,sift1m-subset,512MB,3,21618,23679,26010,71.0,f,10,hnsw.ef_search=40,0.9583,0.56,t27-20260827,2026-08-27 00:38:08.451704+08
hnsw,32,64,,100000,128,sift1m-subset,512MB,3,36025,36751,36968,98.1,f,10,hnsw.ef_search=40,0.9917,1.28,t27-20260827,2026-08-27 00:38:08.451704+08
hnsw,16,200,,100000,128,sift1m-subset,512MB,3,38197,40573,41038,79.4,f,10,hnsw.ef_search=40,0.9893,0.88,t27-20260827,2026-08-27 00:38:08.451704+08
hnsw,32,200,,100000,128,sift1m-subset,512MB,3,68633,70722,70783,98.1,f,10,hnsw.ef_search=40,0.9943,1.31,t27-20260827,2026-08-27 00:38:08.451704+08
ivfflat,,,100,100000,128,sift1m-subset,512MB,3,1004,1147,1159,52.5,f,10,ivfflat.probes=10,0.9860,6.90,t27-20260827,2026-08-27 00:38:08.451704+08
ivfflat,,,316,100000,128,sift1m-subset,512MB,3,2023,2226,2676,53.4,f,10,ivfflat.probes=10,0.9373,1.87,t27-20260827,2026-08-27 00:38:08.451704+08
ivfflat,,,1000,100000,128,sift1m-subset,512MB,3,14083,14311,16676,56.3,f,10,ivfflat.probes=10,0.8583,0.76,t27-20260827,2026-08-27 00:38:08.451704+08
