config,n,min_ms,median_ms,max_ms
ab_off,4,797,811,944
ivf_L,3,1521,1555,1641
ivf_M,3,995,1002,1039
ab_on,4,813,819,1004
hnsw_M,3,3673,3852,3945
ivf_S,3,203,204,253
