# sampler_start_epoch_ms=1787849879233
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
4,104621,building index: performing k-means,0,0,0,0,17320,0
101,104621,building index: performing k-means,0,0,0,0,17320,0
194,104621,building index: performing k-means,0,0,0,0,17320,0
300,104621,building index: performing k-means,0,0,0,0,17320,0
395,104621,building index: performing k-means,0,0,0,0,17320,0
492,104621,building index: performing k-means,0,0,0,0,17320,0
589,104621,building index: performing k-means,0,0,0,0,17320,0
681,104621,building index: performing k-means,0,0,0,0,17320,0
773,104621,building index: performing k-means,0,0,0,0,17320,0
870,104621,building index: performing k-means,0,0,0,0,17320,0
968,104621,building index: assigning tuples,0,0,0,0,17320,0
1066,104621,building index: assigning tuples,8572,855,0,0,17320,0
1156,104621,building index: assigning tuples,8572,1756,0,0,17320,0
1247,104621,building index: assigning tuples,8572,2716,0,0,17320,0
1381,104621,building index: assigning tuples,8572,4106,0,0,17320,0
1470,104621,building index: assigning tuples,8572,5074,0,0,17320,0
1559,104621,building index: assigning tuples,8572,6037,0,0,17320,0
1652,104621,building index: assigning tuples,8572,6974,0,0,17320,0
1744,104621,building index: assigning tuples,8572,7961,0,0,17320,0
1835,104621,building index: assigning tuples,8572,8572,0,0,17320,0
1927,104621,building index: loading tuples,8572,8572,60000,322,17320,0
2021,104621,building index: loading tuples,8572,8572,60000,9996,17320,0
2116,104621,building index: loading tuples,8572,8572,60000,20965,17320,0
2210,104621,building index: loading tuples,8572,8572,60000,30758,17320,0
2304,104621,building index: loading tuples,8572,8572,60000,39242,17320,0
2394,104621,building index: loading tuples,8572,8572,60000,48657,17320,0
2489,104621,building index: loading tuples,8572,8572,60000,53284,17320,0
