# sampler_start_epoch_ms=1787849876483
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
5,104453,building index: performing k-means,0,0,0,0,17320,0
97,104453,building index: performing k-means,0,0,0,0,17320,0
189,104453,building index: performing k-means,0,0,0,0,17320,0
282,104453,building index: performing k-means,0,0,0,0,17320,0
378,104453,building index: performing k-means,0,0,0,0,17320,0
475,104453,building index: performing k-means,0,0,0,0,17320,0
574,104453,building index: performing k-means,0,0,0,0,17320,0
671,104453,building index: performing k-means,0,0,0,0,17320,0
768,104453,building index: performing k-means,0,0,0,0,17320,0
868,104453,building index: performing k-means,0,0,0,0,17320,0
961,104453,building index: assigning tuples,8572,4,0,0,17320,0
1056,104453,building index: assigning tuples,8572,870,0,0,17320,0
1165,104453,building index: assigning tuples,8572,2160,0,0,17320,0
1287,104453,building index: assigning tuples,8572,3214,0,0,17320,0
1382,104453,building index: assigning tuples,8572,4151,0,0,17320,0
1479,104453,building index: assigning tuples,8572,5089,0,0,17320,0
1599,104453,building index: assigning tuples,8572,6078,0,0,17320,0
1690,104453,building index: assigning tuples,8572,7012,0,0,17320,0
1782,104453,building index: assigning tuples,8572,7979,0,0,17320,0
1873,104453,building index: assigning tuples,8572,8572,0,0,17320,0
1967,104453,building index: loading tuples,8572,8572,60000,28,17320,0
2060,104453,building index: loading tuples,8572,8572,60000,9074,17320,0
2152,104453,building index: loading tuples,8572,8572,60000,19299,17320,0
2246,104453,building index: loading tuples,8572,8572,60000,28700,17320,0
2335,104453,building index: loading tuples,8572,8572,60000,36435,17320,0
2429,104453,building index: loading tuples,8572,8572,60000,46319,17320,0
2520,104453,building index: loading tuples,8572,8572,60000,53137,17320,0
2612,104453,building index: loading tuples,8572,8572,60000,60000,17320,0
