# sampler_start_epoch_ms=1787732995019
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,4529,building index: performing k-means,0,0,0,0,68401,0
62,4529,building index: performing k-means,0,0,0,0,68401,0
123,4529,building index: performing k-means,0,0,0,0,68401,0
184,4529,building index: performing k-means,0,0,0,0,68401,0
246,4529,building index: performing k-means,0,0,0,0,68401,0
307,4529,building index: performing k-means,0,0,0,0,68401,0
369,4529,building index: performing k-means,0,0,0,0,68401,0
428,4529,building index: performing k-means,0,0,0,0,68401,0
487,4529,building index: performing k-means,0,0,0,0,68401,0
547,4529,building index: performing k-means,0,0,0,0,68401,0
606,4529,building index: performing k-means,0,0,0,0,68401,0
665,4529,building index: performing k-means,0,0,0,0,68401,0
725,4529,building index: performing k-means,0,0,0,0,68401,0
784,4529,building index: assigning tuples,8572,579,0,0,68401,0
845,4529,building index: assigning tuples,8572,1492,0,0,68401,0
909,4529,building index: assigning tuples,8572,2393,0,0,68401,0
971,4529,building index: assigning tuples,8572,3323,0,0,68401,0
1034,4529,building index: assigning tuples,8572,4242,0,0,68401,0
1095,4529,building index: assigning tuples,8572,5147,0,0,68401,0
1157,4529,building index: assigning tuples,8572,6003,0,0,68401,0
1216,4529,building index: assigning tuples,8572,6897,0,0,68401,0
1276,4529,building index: assigning tuples,8572,7797,0,0,68401,0
1335,4529,building index: assigning tuples,8572,8572,0,0,68401,0
1396,4529,building index: loading tuples,8572,8572,60000,10498,68401,0
1456,4529,building index: loading tuples,8572,8572,60000,28896,68401,0
1516,4529,building index: loading tuples,8572,8572,60000,40189,68401,0
1576,4529,building index: loading tuples,8572,8572,60000,60000,68401,0
