# sampler_start_epoch_ms=1787733003657
elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
1,4993,building index: loading tuples,0,0,0,0,68396,0
62,4993,building index: loading tuples,4286,52,0,683,68396,0
123,4993,building index: loading tuples,4286,128,0,1813,68396,0
185,4993,building index: loading tuples,4286,200,0,2771,68396,0
245,4993,building index: loading tuples,4286,267,0,3716,68396,0
307,4993,building index: loading tuples,4286,334,0,4691,68396,0
367,4993,building index: loading tuples,4286,408,0,5719,68396,0
427,4993,building index: loading tuples,4286,477,0,6706,68396,0
486,4993,building index: loading tuples,4286,550,0,7683,68396,0
545,4993,building index: loading tuples,4286,617,0,8652,68396,0
605,4993,building index: loading tuples,4286,688,0,9621,68396,0
664,4993,building index: loading tuples,4286,756,0,10604,68396,0
725,4993,building index: loading tuples,4286,823,0,11572,68396,0
785,4993,building index: loading tuples,4286,898,0,12599,68396,0
846,4993,building index: loading tuples,4286,966,0,13524,68396,0
907,4993,building index: loading tuples,4286,1037,0,14561,68396,0
968,4993,building index: loading tuples,4286,1109,0,15535,68396,0
1030,4993,building index: loading tuples,4286,1183,0,16561,68396,0
1091,4993,building index: loading tuples,4286,1253,0,17570,68396,0
1153,4993,building index: loading tuples,4286,1330,0,18593,68396,0
1215,4993,building index: loading tuples,4286,1391,0,19494,68396,0
1275,4993,building index: loading tuples,4286,1465,0,20514,68396,0
1337,4993,building index: loading tuples,4286,1549,0,21656,68396,0
1398,4993,building index: loading tuples,4286,1617,0,22642,68396,0
1458,4993,building index: loading tuples,4286,1693,0,23668,68396,0
1519,4993,building index: loading tuples,4286,1764,0,24698,68396,0
1579,4993,building index: loading tuples,4286,1835,0,25722,68396,0
1639,4993,building index: loading tuples,4286,1920,0,26882,68396,0
1700,4993,building index: loading tuples,4286,1989,0,27883,68396,0
1759,4993,building index: loading tuples,4286,2064,0,28901,68396,0
1818,4993,building index: loading tuples,4286,2137,0,29913,68396,0
1878,4993,building index: loading tuples,4286,2210,0,30917,68396,0
1937,4993,building index: loading tuples,4286,2282,0,31927,68396,0
1997,4993,building index: loading tuples,4286,2364,0,33080,68396,0
2057,4993,building index: loading tuples,4286,2438,0,34103,68396,0
2117,4993,building index: loading tuples,4286,2525,0,35374,68396,0
2179,4993,building index: loading tuples,4286,2611,0,36557,68396,0
2239,4993,building index: loading tuples,4286,2675,0,37473,68396,0
2301,4993,building index: loading tuples,4286,2742,0,38393,68396,0
2363,4993,building index: loading tuples,4286,2814,0,39403,68396,0
2425,4993,building index: loading tuples,4286,2883,0,40427,68396,0
2486,4993,building index: loading tuples,4286,2960,0,41424,68396,0
2548,4993,building index: loading tuples,4286,3020,0,42279,68396,0
2609,4993,building index: loading tuples,4286,3091,0,43277,68396,0
2668,4993,building index: loading tuples,4286,3161,0,44276,68396,0
2729,4993,building index: loading tuples,4286,3230,0,45225,68396,0
2791,4993,building index: loading tuples,4286,3301,0,46235,68396,0
2852,4993,building index: loading tuples,4286,3376,0,47257,68396,0
2914,4993,building index: loading tuples,4286,3447,0,48274,68396,0
2975,4993,building index: loading tuples,4286,3530,0,49413,68396,0
3036,4993,building index: loading tuples,4286,3600,0,50411,68396,0
3096,4993,building index: loading tuples,4286,3671,0,51410,68396,0
3155,4993,building index: loading tuples,4286,3745,0,52413,68396,0
3215,4993,building index: loading tuples,4286,3828,0,53591,68396,0
3276,4993,building index: loading tuples,4286,3920,0,54829,68396,0
3337,4993,building index: loading tuples,4286,4006,0,56099,68396,0
3397,4993,building index: loading tuples,4286,4080,0,57124,68396,0
3458,4993,building index: loading tuples,4286,4156,0,58178,68396,0
3518,4993,building index: loading tuples,4286,4227,0,59173,68396,0
3578,4993,building index: loading tuples,4286,4286,0,59981,68396,0
3638,4993,building index: loading tuples,4286,4286,0,59981,68396,0
3698,4993,building index: loading tuples,4286,4286,0,59981,68396,0
3759,4993,building index: loading tuples,4286,4286,0,59981,68396,0
3819,4993,building index: loading tuples,4286,4286,0,59981,68396,0
