case_id,rows,dims,m,ef_construction,mwm_kb,spill_tuples,per_element_bytes,spilled
A1,10000,128,16,64,4096,3420,1226.4,yes
A2,10000,128,16,64,8192,6838,1226.8,yes
A3,10000,128,16,64,16384,,,no
B1,10000,128,8,64,8192,8617,973.5,yes
B2,10000,128,32,64,8192,4824,1738.9,yes
C1,8000,384,16,64,8192,3725,2252.0,yes
C2,8000,384,16,64,16384,7454,2250.8,yes
D1,10000,128,16,200,8192,6838,1226.8,yes
