config,n,min_ms,median_ms,max_ms
ab_off,4,1500,1520,1658
ivf_L,3,2610,2665,2675
ivf_M,3,1457,1507,1513
ab_on,4,1494,1510,1516
hnsw_M,3,2528,2567,2588
ivf_S,3,412,414,423
