elapsed_ms,pid,phase,blocks_total,blocks_done,tuples_total,tuples_done,relid,index_relid
10326,115062,building index: loading tuples,7168,1165,0,16316,117537,0
10422,115062,building index: loading tuples,7168,1173,0,16426,117537,0
10515,115062,building index: loading tuples,7168,1184,0,16586,117537,0
10616,115062,building index: loading tuples,7168,1193,0,16714,117537,0
10718,115062,building index: loading tuples,7168,1202,0,16841,117537,0
10828,115062,building index: loading tuples,7168,1210,0,16948,117537,0
10925,115062,building index: loading tuples,7168,1219,0,17079,117537,0
11019,115062,building index: loading tuples,7168,1229,0,17216,117537,0
11107,115062,building index: loading tuples,7168,1237,0,17330,117537,0
11208,115062,building index: loading tuples,7168,1246,0,17458,117537,0
11299,115062,building index: loading tuples,7168,1257,0,17605,117537,0
11394,115062,building index: loading tuples,7168,1266,0,17731,117537,0
11489,115062,building index: loading tuples,7168,1274,0,17843,117537,0
11582,115062,building index: loading tuples,7168,1283,0,17968,117537,0
11675,115062,building index: loading tuples,7168,1292,0,18091,117537,0
11773,115062,building index: loading tuples,7168,1300,0,18213,117537,0
11872,115062,building index: loading tuples,7168,1310,0,18340,117537,0
11966,115062,building index: loading tuples,7168,1319,0,18471,117537,0
12063,115062,building index: loading tuples,7168,1329,0,18610,117537,0
12158,115062,building index: loading tuples,7168,1338,0,18736,117537,0
12250,115062,building index: loading tuples,7168,1347,0,18868,117537,0
12350,115062,building index: loading tuples,7168,1356,0,18993,117537,0
12446,115062,building index: loading tuples,7168,1365,0,19112,117537,0
12539,115062,building index: loading tuples,7168,1374,0,19237,117537,0
12637,115062,building index: loading tuples,7168,1383,0,19364,117537,0
12731,115062,building index: loading tuples,7168,1392,0,19493,117537,0
12827,115062,building index: loading tuples,7168,1401,0,19627,117537,0
12921,115062,building index: loading tuples,7168,1410,0,19752,117537,0
13013,115062,building index: loading tuples,7168,1419,0,19873,117537,0
13110,115062,building index: loading tuples,7168,1428,0,19995,117537,0
13207,115062,building index: loading tuples,7168,1436,0,20109,117537,0
13307,115062,building index: loading tuples,7168,1444,0,20223,117537,0
13406,115062,building index: loading tuples,7168,1452,0,20339,117537,0
13504,115062,building index: loading tuples,7168,1462,0,20468,117537,0
13601,115062,building index: loading tuples,7168,1470,0,20585,117537,0
13698,115062,building index: loading tuples,7168,1478,0,20704,117537,0
13797,115062,building index: loading tuples,7168,1488,0,20840,117537,0
13895,115062,building index: loading tuples,7168,1497,0,20967,117537,0
13990,115062,building index: loading tuples,7168,1506,0,21092,117537,0
14087,115062,building index: loading tuples,7168,1515,0,21215,117537,0
14196,115062,building index: loading tuples,7168,1523,0,21334,117537,0
14297,115062,building index: loading tuples,7168,1533,0,21463,117537,0
14417,115062,building index: loading tuples,7168,1542,0,21596,117537,0
14519,115062,building index: loading tuples,7168,1550,0,21713,117537,0
14622,115062,building index: loading tuples,7168,1559,0,21836,117537,0
14718,115062,building index: loading tuples,7168,1572,0,22018,117537,0
14819,115062,building index: loading tuples,7168,1581,0,22146,117537,0
14917,115062,building index: loading tuples,7168,1590,0,22271,117537,0
15013,115062,building index: loading tuples,7168,1600,0,22402,117537,0
15111,115062,building index: loading tuples,7168,1608,0,22521,117537,0
15206,115062,building index: loading tuples,7168,1616,0,22637,117537,0
